  Arrecife;2000;43711;2017;59771;54647,39
  Har�a;2000;4201;2010;5249;4858,28
  San Bartolom�;2000;13129;2014;18689;17462,0
  Teguise;2000;12184;2017;21896;18064,11
  T�as;2000;13537;2013;20451;18183,0
  Tinajo;2000;4373;2017;6028;5475,94
  Yaiza;2000;5175;2017;16257;11886,72
  Antigua;2000;4821;2014;11643;9131,39
  Betancuria;2002;665;2011;839;733,89
  Oliva (La);2000;10578;2017;25349;19890,28
  P�jara;2000;12923;2013;20931;18582,89
  Puerto del Rosario;2000;21274;2017;38711;32252,5
  Tuineje;2000;9851;2017;14301;12797,67
  Agaete;2004;5511;2013;5796;5667,72
  Ag�imes;2000;20692;2017;30882;27271,17
  Artenara;2017;1096;2000;1572;1297,33
  Arucas;2000;31973;2017;37367;35379,11
  Firgas;2000;6814;2012;7648;7334,22
  G�ldar;2000;22291;2010;24473;23678,61
  Ingenio;2000;24616;2017;30529;28397,94
  Mog�n;2000;13136;2012;24225;19212,83
  Moya;2017;7792;2000;8664;8059,22
  Palmas de Gran Canaria (Las);2000;358518;2011;383343;377502,67
  San Bartolom� de Tirajana;2000;39939;2013;56698;49860,33
  Aldea de San Nicol�s (La);2017;7613;2012;8633;8222,44
  Santa Br�gida;2000;18153;2009;19154;18742,67
  Santa Luc�a;2000;44974;2017;70396;60515,33
  Santa Mar�a de Gu�a;2013;13811;2011;14306;14072,67
  Tejeda;2017;1950;2000;2565;2207,44
  Telde;2000;88110;2013;102170;97962,33
  Teror;2000;11898;2010;12944;12478,11
  Valsequillo;2000;8049;2015;9276;8831,67
  Valleseco;2017;3810;2004;4082;3967,72
  Vega de San Mateo;2001;7406;2013;7774;7631,5
  Adeje;2000;14007;2013;49387;37973,78
  Arafo;2000;4802;2010;5543;5337,44
  Arico;2000;5644;2012;8090;7286,17
  Arona;2000;38416;2013;80987;69106,83
  Buenavista del Norte;2017;4797;2003;5453;5125,89
  Candelaria;2000;13294;2017;27149;22341,44
  Fasnia;2000;2554;2011;3015;2753,89
  Garachico;2017;4827;2001;5853;5380,28
  Granadilla de Abona;2000;20323;2017;46816;36680,28
  Guancha (La);2001;5257;2009;5487;5400,78
  Gu�a de Isora;2000;14674;2017;20537;19028,89
  G�imar;2000;14646;2017;19273;17328,56
  Icod de Los Vinos;2000;19977;2005;24290;23188,61
  Laguna (La);2000;126543;2017;153655;145393,61
  Matanza de Acentejo (La);2000;7000;2013;8944;8177,06
  Orotava (La);2000;38348;2012;41726;40614,5
  Puerto de La Cruz;2000;24988;2011;32817;30496,67
  Realejos (Los);2000;34147;2012;38028;36575,72
  Rosario (El);2000;12696;2013;17465;16216,0
  San Juan de La Rambla;2000;4345;2013;5110;4972,44
  San Miguel;2000;7315;2017;18887;14031,61
  Santa Cruz de Tenerife;2016;203585;2006;223148;215055,39
  Santa �rsula;2000;10529;2013;14545;13231,22
  Santiago del Teide;2000;8863;2013;12634;11119,5
  Sauzal (El);2000;7443;2013;9076;8602,06
  Silos (Los);2014;4727;2004;5547;5200,72
  Tacoronte;2000;20800;2014;23929;22906,89
  Tanque (El);2017;2650;2002;3254;2952,94
  Tegueste;2000;9226;2016;11114;10513,56
  Victoria de Acentejo (La);2000;8052;2013;9069;8693,5
  Vilaflor;2017;1615;2005;1930;1788,0
  Agulo;2017;1066;2004;1221;1151,94
  Alajer�;2000;1343;2008;2146;1911,67
  Hermigua;2017;1808;2011;2232;2101,11
  San Sebasti�n de La Gomera;2003;6902;2011;9120;8348,56
  Valle Gran Rey;2000;4002;2011;5364;4643,94
  Vallehermoso;2000;2680;2004;3200;3026,72
  Barlovento;2017;1859;2005;2507;2244,28
  Bre�a Alta;2000;5898;2013;7455;6997,11
  Bre�a Baja;2000;4051;2013;5523;4856,5
  Fuencaliente;2017;1695;2007;1964;1839,83
  Garaf�a;2017;1584;2001;2012;1798,78
  Llanos de Aridane (Los);2000;18190;2011;21145;20213,72
  Paso (El);2004;7218;2011;7947;7581,67
  Puntagorda;2004;1708;2010;2177;1944,17
  Puntallana;2000;2204;2009;2460;2374,83
  San Andr�s y Sauces;2017;4135;2001;5263;4809,0
  Santa Cruz de La Palma;2017;15581;2002;18228;17119,78
  Tazacorte;2017;4620;2000;6147;5516,78
  Tijarafe;2016;2577;2013;2776;2708,5
  Villa de Mazo;2005;4591;2011;4986;4814,0
  Frontera;2014;3901;2006;5733;4616,83
  Valverde;2000;3641;2012;5075;4819,22
  Pinar de El Hierro (El);2007;0;2009;1888;1011,39
